shdistri,edu_index,health_index,wealth_index,hdi_index
Araria,0.255472,0.0729823,1.42468,0.2983729
Arwal,0.3530288,0.2719145,1.74733,0.5514916
Aurangabad,0.3684316,0.2472924,2.06839,0.573324
Banka,0.2968222,0.1659229,1.64097,0.4323493
Begusarai,0.3120748,0.1422684,1.87029,0.4362735
Bhagalpur,0.327767,0.303301,2.07728,0.591078
Bhojpur,0.3817705,0.1526485,2.19077,0.5035357
Buxar,0.379931,0.1131657,2.26165,0.4598486
Darbhanga,0.3090909,0.1624376,1.76603,0.4459203
Gaya,0.32309,0.0288625,1.9944,0.2649453
Gopalganj,0.3571864,0.1916179,2.01848,0.5169542
Jamui,0.2892799,0.026784,1.64594,0.233634
Jehanabad,0.3597138,0.1918907,2.11145,0.5262561
Kaimur,0.3529073,0.2375744,2.07753,0.5584733
Katihar,0.2734703,0.1844489,1.61586,0.4335741
Khagaria,0.2963914,0.1066772,1.78823,0.3838132
Kishanganj,0.2475772,0.1139929,1.56976,0.3538399
Lakhisarai,0.3358984,0.1206832,2.14471,0.4430039
Madhepura,0.2516598,0.0987552,1.47552,0.3322305
Madhubani,0.3020121,0.1454728,1.67646,0.4191792
Munger,0.3849198,0.1000636,2.25631,0.4429433
Muzaffarpur,0.3335432,0.1013854,1.98195,0.4062
Nalanda,0.3296482,0.3018356,2.16917,0.5998439
Nawada,0.3209951,0.1929189,1.97184,0.4961139
Pashchim Champaran,0.2862456,0.1217374,1.61745,0.3834113
Patna,0.4165435,0.1060412,2.95092,0.5070267
Purba Champaran,0.2653244,0.1589645,1.67325,0.4132499
Purnia,0.2836569,0.1949489,1.56773,0.4425835
Rohtas,0.3954231,0.0578322,2.28544,0.3738811
Saharsa,0.2771029,0.0948276,1.63186,0.3500145
Samastipur,0.3130855,0.1271077,1.58539,0.398098
Saran,0.3547623,0.1250234,1.98299,0.4447166
Sheikhpura,0.3221697,0.2210028,2.07739,0.5288511
Sheohar,0.2552941,0.0878984,1.60987,0.3305758
Sitamarhi,0.2727211,0.0739915,1.51976,0.3130105
Siwan,0.3735913,0.1233879,2.12949,0.4612979
Supaul,0.2636205,0.0841385,1.43599,0.3169872
Vaishali,0.3321993,0.2570403,2.00265,0.5550533
